Date, Romney, RomneyAbortion, RomneyEconomy, RomneyHealthcare
5-Aug-12,197979,8341,9535,3124
6-Aug-12,194097,8230,9984,3140
7-Aug-12,189816,8213,11199,3126
8-Aug-12,185811,8292,12054,3079
9-Aug-12,181395,8268,12487,2999
10-Aug-12,176709,8154,12731,2939
11-Aug-12,165212,8224,13164,2868
12-Aug-12,160753,8100,13405,2709
13-Aug-12,155607,8156,13026,2831
14-Aug-12,471412,8103,13908,2764
15-Aug-12,461119,8037,13700,2560
16-Aug-12,451085,7985,13673,2617
17-Aug-12,441947,7851,13453,2541
18-Aug-12,428675,7836,13166,2503
19-Aug-12,430842,7697,13182,2455
20-Aug-12,418279,7359,12685,2423
21-Aug-12,417401,6935,12512,2408
22-Aug-12,408870,6387,12593,2358
23-Aug-12,393732,5755,11972,2305
24-Aug-12,383831,4659,11624,2224
25-Aug-12,373895,4366,11191,2181
26-Aug-12,365461,3988,10911,2099
27-Aug-12,354281,3542,10543,2016
28-Aug-12,341869,2970,10063,1952
29-Aug-12,308302,2561,9562,1851
30-Aug-12,289120,2296,8791,1775
31-Aug-12,239263,1923,7862,1577
1-Sep-12,225874,1789,7462,1444
2-Sep-12,217124,1695,7292,1479
3-Sep-12,208677,1582,7047,1441
4-Sep-12,193611,1441,5678,1372
5-Sep-12,168644,1100,4719,1219
6-Sep-12,279876,948,4083,1129
7-Sep-12,229338,720,3176,996
8-Sep-12,206007,598,2665,952
9-Sep-12,167845,466,2133,736
10-Sep-12,135264,290,1627,438
11-Sep-12,99649,159,1086,214
12-Sep-12,53631,90,652,79
13-Sep-12,53650,90,652,79
