Date, Obama, ObamaCare, ObamaAbortion, ObamaEconomy, ObamaHealthcare, Romney, RomneyAbortion, RomneyEconomy, RomneyHealthcare
"Sep 05, 2011",503602,208747,10634,29377,10129,802288,9571,11282,4810
"Sep 04, 2011",505324,208891,10528,29115,10026,801904,9540,11430,4849
"Sep 03, 2011",517428,209064,10629,29660,10311,801645,9478,11267,4811
"Sep 02, 2011",519061,209094,10704,29207,10127,800354,9490,11169,4813
"Sep 01, 2011",503789,209218,10551,30024,10291,802447,9497,11318,4811
"Aug 31, 2011",518561,209172,10710,30071,10179,802226,9487,11332,4831
"Aug 30, 2011",508629,209270,10702,30402,10262,801957,9554,11393,4816
"Aug 29, 2011",516936,209351,10736,30041,10405,801864,9565,11116,4823
"Aug 28, 2011",514439,209647,10713,30411,10309,801138,9481,11400,4869
"Aug 27, 2011",523420,209886,10769,30899,10396,802582,9489,11300,4863
"Aug 26, 2011",521910,209550,10666,30302,10396,801400,9564,11167,4809
"Aug 25, 2011",517636,209515,10851,29782,10164,804327,9588,11230,4827
"Aug 24, 2011",520953,210085,10835,30129,10265,802489,9513,11329,4883
"Aug 23, 2011",519593,209930,10747,30550,10432,802033,9598,11205,4851
"Aug 22, 2011",511419,209906,10871,30059,10390,804775,9516,11319,4901
"Aug 21, 2011",521248,210136,10760,31086,10309,804302,9624,11299,4876
"Aug 20, 2011",524736,210460,10812,30846,10233,806245,9601,11285,4856
"Aug 19, 2011",525083,210203,10866,30429,10216,806683,9615,11203,4844
"Aug 18, 2011",526906,210264,10741,30785,10483,806168,9555,11172,4821
"Aug 17, 2011",521224,211067,10817,30640,10310,803553,9520,11483,4871
"Aug 16, 2011",532489,210875,10896,30722,10319,804703,9567,11555,4881
"Aug 15, 2011",533934,211171,10729,30744,10584,805478,9548,11373,4851
"Aug 14, 2011",533867,211479,10860,31057,10247,805668,9631,11256,4870
"Aug 13, 2011",538362,211452,10849,31696,10490,807087,9578,11321,4904
"Aug 12, 2011",527302,211872,10982,31226,10615,809043,9666,11202,4877
"Aug 11, 2011",551699,212378,10793,31083,10722,806274,9675,10972,4909
"Aug 10, 2011",547388,212397,10881,31647,10491,809741,9681,11456,4831
